Titre,image,information,templateavis,type1,information_lien
LES MANUSCRITS PERDUS,https://assets.cantook.net/medias/5f/32ac8a4beb1110475dd61691e3b47308005eb5.jpg?h=-&w=200,"
	 BERRY, Steve. Auteur     CHERCHE MIDI   | 2025 
","
		 Un voyage palpitant à travers les secrets les mieux gardés de la Russie.
1584 : Ivan lee Terrible vi...
",,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782749185019/les-manuscrits-perdus
MES CONVICTIONS,https://assets.edenlivres.fr/medias/53/67f82b0eb2cb19d25de082ffe67a2d8c7c860b.jpg?h=-&w=200,"
	 Nouvel, Jean. Auteur     Flammarion   | 2025 
","
		 ""L’architecture m’a cueilli dans ma prime jeunesse, dans ma ville médiévale dont le nom, Sarlat, éta...
",,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782080464361/mes-convictions
LE COMTE DE BARCELONE - TOME 1,https://couverture.numilog.com/9782385210465_W300.jpg,"
	 Audibert, Fanny. Auteur     Le Passeur éditeur. Paris   | 2025 
","
		 En 1640, d'Artagnan, las d'une vie sans éclat, est envoyé par Richelieu dans l'Espagne du Siècle d'o...
",,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9628221600789/le-comte-de-barcelone-tome-1
PETIT MUSC - COMPTES ET LÉGENDES,https://assets.edenlivres.fr/medias/a6/1f4b382f536e89412fb88235874c6e8ef46e08.jpg?h=-&w=200,"
	 Cusset, François. Auteur     Editions Gallimard   | 2025 
","
		 Cette année-là fut celle du sacre de Petit Musc. Ce fut l’année de son ascension au faîte des pouvoi...
",,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782073125460/petit-musc-comptes-et-legendes
LES SILENCES DE MONA,https://images.immateriel.fr/covers/W2EF9Y2.png,"
	 Lake, Nora (1999-....). Auteur     Mnémos. Val-d'Oingt (Rhône)   | 2025 
","
		 En 2025, Charlie, 17 ans, relate son obsession pour Mona, élève mystérieuse et charismatique d’un ly...
",Naos,https://bibliotheques.paris.fr/numerique/doc/DILICOM/3612226521862/les-silences-de-mona
DERRIÈRE LA HAINE,https://assets.edenlivres.fr/medias/87/361381f7f598b5e37c3647cfd75f56199099d8.jpg?h=-&w=200,"
	 Lambour, Séverine (1976-....). Auteur     Philéas. Paris   | 2025 
","
		 Deux couples, Tiphaine et Sylvain et Laetitia et David, voisins du même âge, sont devenus inséparabl...
",,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782385020637/derriere-la-haine
IL ÉTAIT UN LOUP...,https://couverture.numilog.com/9782385294458_W300.jpg,"
	 Benedict, A.K.. Auteur     Charleston. Paris   | 2025 
","
		 Katie, une jeune autrice de polars, se fait enlever. A son réveil dans un vieux grenier, elle trouve...
",,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9628200901081/il-etait-un-loup
MADEMOISELLE ROBOT,https://assets.edenlivres.fr/medias/ac/2261ce2f9d583325dd8c9159449bd88b3c6cb0.jpg?h=-&w=200,"
	 Greer, Sierra. Auteur     Editions Gallimard   | 2025 
","
		 Doug a de l’argent, mais le coeur et l’ego en morceaux depuis son divorce. En guise de consolation, ...
",,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782072998560/mademoiselle-robot
HORS CASTE,https://images.immateriel.fr/covers/JDC6FV3.png,"
	 Nantel, Marge (1981-....). Auteur     Mnémos. Val-d'Oingt (Rhône)   | 2025 
","
		 A Hemurn, où la magie détermine le rang social, Suèhl est un paria car dépourvu du don. Quand il cro...
",Fantasy,https://bibliotheques.paris.fr/numerique/doc/DILICOM/3612226482521/hors-caste
MARAIS ROUGES : PRIX DES DÉTECTIVES 2025,https://assets.edenlivres.fr/medias/02/0623499220e19de3e8ad7474799f15f72c8a82.jpg?h=-&w=200,"
	 Jean, Toulko. Auteur     Verso   | 2025 
","
		 LE POLAR LAURÉAT DU PRIX DES DÉTECTIVES 2025 !On n’enterre jamais le passé…Dans les Marais rouges, a...
",,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782386432354/marais-rouges-prix-des-detectives-2025
